id,address,city,floor,price,rooms,sq,year,latitude,longitude
16509,Twarda,Gdańsk,0,435000.0,2,43.0,1920.0,50.0247867,19.9533486
16510,Krzysztofa Komedy,Gdańsk,4,950000.0,4,80.6,2022.0,50.0247867,19.9533486
16511,Sienna Grobla,Gdańsk,0,635000.0,2,39.0,2021.0,50.0762264,19.9323976
16512,Człuchowska,Gdańsk,4,442200.0,2,44.22,2023.0,50.0663953,20.0118072
16513,Człuchowska,Gdańsk,2,534244.0,3,58.05,2023.0,50.0663953,20.0118072
16514,Hoża,Gdańsk,4,399000.0,2,35.0,1970.0,50.0663953,20.0118072
16515,Stanisława Skarżyńskiego,Gdańsk,4,595000.0,3,63.0,1984.0,50.0958627,20.064278
16516,Szczecińska,Gdańsk,2,730000.0,3,66.61,1956.0,50.0958627,20.064278
16517,Gdańska 21S,Gdańsk,3,1450000.0,3,79.2,2022.0,50.0206771,20.0551744
16518,Myśliwskie Wzgórze,Gdańsk,1,569000.0,2,42.7,2013.0,50.0486592,19.9455011
16519,Wielkopolska,Gdańsk,1,394000.0,2,42.7,2023.0,50.1066504,20.0118013
16520,Świętokrzyska,Gdańsk,2,509624.0,4,64.21,2022.0,50.0204002,20.0077123
16521,Aleksandra Dulin'a,Gdańsk,2,482080.0,3,52.4,2023.0,50.0204002,20.0077123
16522,Niepołomicka,Gdańsk,1,375094.0,2,42.66,2022.0,50.0713709,19.944677
16523,Bolesława Krzywoustego,Gdańsk,1,895000.0,2,48.4,2010.0,49.982778,19.8840497
16524,Stefana Jaracza,Gdańsk,6,1190623.0,3,85.3,2000.0,50.0643634,20.0178213
16525,Walecznych,Gdańsk,2,680000.0,2,52.17,1960.0,50.0564184,19.9453922
16526,Kazimierza Porębskiego,Gdańsk,3,540000.0,3,59.9,2002.0,50.0732712,19.8959076
16527,Jaworowa,Gdańsk,0,548500.0,3,57.0,2023.0,50.0404753,20.0151209
16528,Jaworowa,Gdańsk,2,561000.0,3,58.0,2023.0,50.0404753,20.0151209
16529,Jaworowa,Gdańsk,1,573000.0,3,62.0,2023.0,50.0732712,19.8959076
16530,Jaworowa,Gdańsk,3,595000.0,3,62.0,2023.0,50.0404753,20.0151209
16531,Wielkopolska,Gdańsk,4,382500.0,2,41.0,2023.0,50.0404753,20.0151209
16532,Wielkopolska,Gdańsk,5,397500.0,2,41.0,2023.0,50.0475257,19.978844
16533,Przyokopowa,Gdańsk,0,795000.0,2,38.0,2000.0,50.0663953,20.0118072
16534,Forsycji,Gdańsk,1,895000.0,2,116.53,2022.0,50.0935683,19.9225386
16535,Powstańców Warszawskich,Gdańsk,2,630000.0,3,55.0,1980.0,49.985,19.9441667
16536,dr. Władysława Paneckiego,Gdańsk,1,670000.0,3,62.0,1980.0,50.0643634,20.0178213
16537,Romualda Traugutta,Gdańsk,0,560000.0,2,56.0,1900.0,50.0417419,20.0621804
16538,Jakuba Wejhera,Gdańsk,4,569000.0,2,44.12,1970.0,50.09673045,19.928136806971654
16539,Świętokrzyska,Gdańsk,0,387240.0,2,38.01,2022.0,50.0417419,20.0621804
16540,Królowej Bony,Gdańsk,1,478000.0,2,46.0,2008.0,50.0417419,20.0621804
16541,Stare Domki,Gdańsk,0,520000.0,2,29.1,2000.0,50.0417419,20.0621804
16542,Międzygwiezdna,Gdańsk,3,699000.0,4,75.5,2000.0,54.417599,18.4823771
