id,address,city,floor,price,rooms,sq,year
98,Komisji Edukacji Narodowej,Białystok,1,409000.0,2,48.0,2003
99,Towarowa,Białystok,4,325000.0,3,489.0,1977
100,Wołyńska,Białystok,3,805000.0,4,8666.0,2011
101,Aleja Józefa Piłsudskiego,Białystok,5,369000.0,2,542.0,
102,Kazimierza Pułaskiego,Białystok,1,426000.0,3,526.0,1995
103,Depowa,Białystok,2,619000.0,3,5711.0,2022
104,Białostoczek,Białystok,3,450000.0,3,601.0,1980
105,Plażowa 5,Białystok,4,389000.0,3,4506.0,2023
106,Gajowa,Białystok,1,345000.0,2,477.0,1981
107,Józefa Ignacego Kraszewskiego,Białystok,4,680000.0,4,68.0,
108,Michała Pietkiewicza,Białystok,1,499000.0,2,482.0,2004
109,Zagórna,Białystok,2,419000.0,3,55.0,
110,Stanisława Dubois,Białystok,3,517000.0,4,724.0,1990
111,Józefa Ignacego Kraszewskiego,Białystok,2,320000.0,2,34.0,1970
112,Knyszyńska,Białystok,8,669000.0,3,6159.0,2022
113,Zagórna,Białystok,10,499000.0,4,701.0,1984
114,Ciepła,Białystok,2,437080.0,2,446.0,
115,Kombatantów,Białystok,2,750000.0,3,68.0,2017
116,Wierzbowa,Białystok,3,239000.0,1,2424.0,1970
117,Olsztyńska 3,Białystok,2,373500.0,3,606.0,1980
118,Jurowiecka,Białystok,4,429000.0,3,4015.0,2022
119,gen. Józefa Bema,Białystok,3,417700.0,2,4036.0,2023
120,Warmińska,Białystok,1,599000.0,3,6461.0,2011
121,Antoniukowska 46,Białystok,0,440000.0,2,474.0,1966
122,Mieszka I I,Białystok,3,425000.0,4,582.0,1976
123,Bolesława Chrobrego,Białystok,1,419000.0,3,487.0,1972
124,Jurowiecka,Białystok,7,530000.0,2,4162.0,2017
125,Zagórna,Białystok,1,420000.0,3,60.0,1985
126,Armii Krajowej,Białystok,3,379000.0,3,543.0,1995
127,Ciepła,Białystok,2,461760.0,3,481.0,
128,Lodowa,Białystok,2,767425.0,4,10119.0,2023
129,Piastowska,Białystok,3,439000.0,4,58.0,
130,Piastowska,Białystok,4,309000.0,2,39.0,1972
131,Bolesława Chrobrego,Białystok,1,419000.0,3,482.0,1976
132,Pozioma,Białystok,1,1149000.0,5,100.0,2022
133,Artura Grottgera,Białystok,2,560000.0,2,49.0,
134,Aleja Józefa Piłsudskiego,Białystok,4,309000.0,2,36.0,
135,Komisji Edukacji Narodowej,Białystok,2,429000.0,3,45.0,2003
136,Magnoliowa,Białystok,0,449000.0,2,489.0,2008
137,Włókiennicza,Białystok,5,375000.0,2,461.0,1972
138,Zwierzyniecka,Białystok,4,329000.0,2,421.0,1965
139,Armii Krajowej,Białystok,3,480000.0,4,818.0,1994
140,Hetmańska,Białystok,3,375000.0,3,5218.0,2023
141,Aleja Józefa Piłsudskiego 10,Białystok,2,435000.0,3,672.0,1960
142,Białostocka,Białystok,2,449000.0,2,4772.0,2017
143,Józefa Ignacego Kraszewskiego,Białystok,7,739000.0,3,5906.0,2023
144,Wincentego Witosa,Białystok,4,299900.0,2,48.0,
145,42 Pułku Piechoty,Białystok,1,450000.0,2,424.0,2013
146,Ogrodniczki,Białystok,1,430000.0,3,48.0,1988
147,Transportowa,Białystok,0,574000.0,3,584.0,2012
148,Stołeczna,Białystok,1,435000.0,3,468.0,1965
149,Stołeczna,Białystok,0,600000.0,4,743.0,
150,Fabryczna,Białystok,2,485000.0,3,62.0,1979
151,Zwierzyniecka,Białystok,2,309000.0,2,372.0,
152,Trawiasta,Białystok,0,585000.0,3,60.0,2008
153,Wiejska 8,Białystok,0,387000.0,2,33.0,
154,Władysława Broniewskiego,Białystok,4,289000.0,2,3799.0,
155,Plażowa,Białystok,1,519000.0,3,4793.0,2020
156,Mieszka I I,Białystok,3,399000.0,3,481.0,1976
157,Hugo Kołłątaja,Białystok,3,432800.0,3,5215.0,2024
158,Wasilkowska,Białystok,1,499000.0,3,528.0,1986
159,św. Wojciecha,Białystok,0,455000.0,3,485.0,1980
160,Konwaliowa,Białystok,3,439000.0,3,638.0,1988
161,Stołeczna,Białystok,1,360000.0,3,45.0,1965
162,Sybiraków,Białystok,4,319000.0,1,358.0,2003
163,Porzeczkowa,Białystok,8,338000.0,3,597.0,1983
164,Knyszyńska,Białystok,7,607000.0,2,5588.0,2022
165,Wysoki Stoczek,Białystok,2,349000.0,3,60.0,1986
166,Lodowa,Białystok,0,407055.0,2,5045.0,2023
167,Stanisława Mikołajczyka,Białystok,1,519000.0,4,6976.0,2022
168,Żubrów,Białystok,3,525000.0,2,57.0,2023
169,Wincentego Witosa,Białystok,1,410000.0,3,483.0,
170,Lipowa,Białystok,1,899000.0,5,80.0,
171,Chmielna,Białystok,4,352000.0,2,375.0,2007
172,Łagodna,Białystok,3,475000.0,3,657.0,4
173,Kazimierza Pułaskiego,Białystok,2,369000.0,3,501.0,1994
174,Rzemieślnicza,Białystok,3,379000.0,3,60.0,1989
175,Bolesława Chrobrego,Białystok,3,360000.0,4,579.0,1971
176,Józefa Karola Puchalskiego,Białystok,0,650000.0,3,7128.0,2012
177,Józefa Karola Puchalskiego,Białystok,0,539000.0,3,65.0,2011
178,Szarych Szeregów,Białystok,3,429000.0,3,65.0,1991
179,Jerzego Waszyngtona,Białystok,6,489000.0,4,579.0,
180,Zachodnia,Białystok,0,490000.0,4,717.0,2000
181,Prezydenta Ryszarda Kaczorowskiego,Białystok,8,580000.0,2,465.0,
182,Lipowa,Białystok,1,335000.0,1,20.0,1960
183,Zachodnia,Białystok,1,599000.0,3,642.0,2002
184,Wierzbowa,Białystok,1,487000.0,4,564.0,1971
185,Sukienna 2,Białystok,2,429000.0,2,453.0,1965
186,Niemeńska,Białystok,2,899000.0,4,130.0,2021
187,Nowy Świat,Białystok,2,585000.0,2,6863.0,1929
188,Sukienna,Białystok,0,728460.0,3,5396.0,2022
189,Józefa Karola Puchalskiego,Białystok,0,585000.0,3,6129.0,2012
190,Warszawska,Białystok,2,649000.0,3,64.0,2001
191,Zachodnia,Białystok,3,819000.0,4,102.0,2000
192,Hugo Kołłątaja,Białystok,3,329000.0,2,346.0,1995
193,Świętego Mikołaja,Białystok,3,460000.0,3,5466.0,1960
194,Batalionów Chłopskich,Białystok,4,482999.0,4,805.0,1990
195,Mieszka I I,Białystok,2,415000.0,2,392.0,1984
196,Młynowa,Białystok,4,1199900.0,4,91.0,2014
197,Henryka Sienkiewicza,Białystok,4,399000.0,4,48.0,1975
198,Hetmańska,Białystok,0,749001.0,3,7549.0,2018
199,Skorupska,Białystok,2,729000.0,4,778.0,2004
200,Hugo Kołłątaja,Białystok,3,509000.0,3,583.0,2000
201,Poleska,Białystok,3,352000.0,3,481.0,
202,Wiosenna,Białystok,2,680750.0,3,5869.0,2018
203,Niedźwiedzia,Białystok,2,319000.0,2,54.0,1964
204,Lodowa,Białystok,0,469203.0,3,6311.0,2023
205,Stanisława Mikołajczyka,Białystok,1,519000.0,4,6976.0,2022
206,Ukośna,Białystok,0,397404.0,2,4788.0,
207,Trawiasta,Białystok,3,410000.0,2,478.0,2007
208,Józefa Mackiewicza 3,Białystok,0,455000.0,2,49.0,2016
209,Żabia,Białystok,2,399000.0,3,60.0,1964
210,Białostoczek,Białystok,4,369000.0,3,605.0,1989
211,Skrajna,Białystok,3,439000.0,3,39.0,1998
212,Ukośna,Białystok,4,432640.0,2,5408.0,
213,Antoniukowska,Białystok,3,390000.0,3,4415.0,
214,Depowa 9F,Białystok,2,619000.0,3,5711.0,2022
